2022-12-15 06:08:48,592 - ('suma minutpro bat1', -0.7047925194104513)
2022-12-15 06:08:49,905 - ('suma minut vybiti pro bat1', -0.010475599765777588)
2022-12-16 14:54:25,452 - ('bat2 nabiti', -0.42205626567204796)
2022-12-16 14:54:37,376 - ('bat2 vybiti', -0.18754759629567463)
2022-12-16 14:56:43,649 - ('suma minutpro bat1', -2.0938703934351603)
2022-12-16 14:56:44,926 - ('suma minut vybiti pro bat1', -0.010381722450256347)
2022-12-16 15:19:27,476 - ('bat2 nabiti', -0.4261311729749044)
2022-12-16 15:19:31,779 - ('bat2 vybiti', -0.060493882497151694)
2022-12-16 15:19:33,076 - ('suma minutpro bat1', -0.01030433972676595)
2022-12-16 15:19:34,327 - ('suma minut vybiti pro bat1', -0.010363280773162842)
2022-12-16 15:21:29,138 - ('bat2 nabiti', -0.4249539454778036)
2022-12-16 15:21:33,483 - ('bat2 vybiti', -0.06116905609766642)
2022-12-16 15:21:34,832 - ('suma minutpro bat1', -0.010612722237904866)
2022-12-16 15:21:36,085 - ('suma minut vybiti pro bat1', -0.010312994321187338)
2022-12-16 15:34:08,839 - ('bat2 nabiti', -0.42616029977798464)
2022-12-16 15:34:13,130 - ('bat2 vybiti', -0.06047689517339071)
2022-12-16 15:34:14,428 - ('suma minutpro bat1', -0.010325419902801513)
2022-12-16 15:34:15,690 - ('suma minut vybiti pro bat1', -0.010341962178548178)
2022-12-16 15:39:07,851 - ('bat2 nabiti', -0.4246748765309652)
2022-12-16 15:43:00,265 - ('bat2 nabiti', -5.1180521647135414e-05)
2022-12-16 15:43:00,901 - ('bat2 vybiti', -3.360112508138021e-05)
2022-12-16 15:43:02,165 - ('suma minutpro bat1', -0.010459840297698975)
2022-12-16 15:43:03,424 - ('suma minut vybiti pro bat1', -0.010440699259440104)
2022-12-16 15:58:18,397 - ('bat2 nabiti', -0.42625176509221396)
2022-12-16 15:59:04,226 - ('bat2 nabiti', -0.4254698872566223)
2022-12-16 15:59:12,353 - ('bat2 vybiti', -0.12422916491826376)
2022-12-16 16:02:18,079 - ('bat2 nabiti', -0.421904714902242)
2022-12-16 16:02:56,467 - ('bat2 vybiti', -0.6284782648086548)
2022-12-16 16:15:56,030 - ('bat2 nabiti', -0.42200733423233033)
2022-12-16 16:20:55,446 - ('bat2 nabiti', -0.42406548261642457)
2022-12-16 16:21:30,111 - ('bat2 vybiti', -0.566793966293335)
2022-12-16 16:36:45,473 - ('bat2 nabiti', -0.42207951545715333)
2022-12-16 16:37:08,707 - ('bat2 vybiti', -0.37615923086802167)
2022-12-16 19:03:14,874 - ('bat2 nabiti', -0.42222540378570556)
2022-12-16 19:03:38,259 - ('bat2 vybiti', -0.37875171105066935)
2022-12-16 19:06:27,233 - ('bat2 nabiti', -0.4215067744255066)
2022-12-16 19:06:50,623 - ('bat2 vybiti', -0.3788823088010152)
2022-12-16 19:09:11,018 - ('bat2 nabiti', -0.4237876296043396)
2022-12-16 19:09:34,196 - ('bat2 vybiti', -0.37538595994313556)
2022-12-16 19:10:48,877 - ('suma minutpro bat1', -1.2334126591682435)
2022-12-16 19:11:59,215 - ('bat2 nabiti', -0.42182355721791587)
2022-12-16 19:12:25,829 - ('bat2 vybiti', -0.43251659472783405)
2022-12-16 19:13:30,483 - ('suma minutpro bat1', -1.0670634706815083)
2022-12-16 19:13:47,396 - ('suma minut vybiti pro bat1', -0.27092506090799967)
2022-12-16 19:14:14,085 - ('bat2 nabiti', -0.42402697801589967)
2022-12-16 19:14:37,467 - ('bat2 vybiti', -0.37882808049519856)
2022-12-16 19:16:02,046 - ('suma minutpro bat1', -1.398545471827189)
2022-12-16 19:16:18,972 - ('suma minut vybiti pro bat1', -0.2707690715789795)
2022-12-16 19:16:45,547 - ('bat2 nabiti', -0.42131800254185997)
2022-12-16 19:17:08,577 - ('bat2 vybiti', -0.37263319492340086)
2022-12-16 19:18:13,214 - ('suma minutpro bat1', -1.0659525752067567)
2022-12-16 19:18:30,202 - ('suma minut vybiti pro bat1', -0.27161314090092975)
2022-12-16 19:20:22,609 - ('bat2 nabiti', -0.4243234356244405)
2022-12-16 19:20:49,842 - ('bat2 vybiti', -0.4429832935333252)
2022-12-16 19:22:04,451 - ('suma minutpro bat1', -1.2321670134862264)
2022-12-16 19:22:21,413 - ('suma minut vybiti pro bat1', -0.27143981456756594)
2022-12-16 19:22:48,054 - ('bat2 nabiti', -0.4219013770421346)
2022-12-16 19:23:10,610 - ('bat2 vybiti', -0.36532324155171714)
2022-12-16 19:24:35,232 - ('suma minutpro bat1', -1.399010999997457)
2022-12-16 19:39:53,700 - ('bat2 nabiti', -0.4212345560391744)
2022-12-16 19:40:05,314 - ('bat2 vybiti', -0.182706081867218)
2022-12-16 19:44:43,299 - ('bat2 nabiti', -0.424135955174764)
2022-12-16 19:45:14,342 - ('bat2 vybiti', -0.5063374876976013)
2022-12-16 21:33:55,612 - ('suma minutpro bat1', -108.67706634600957)
2022-12-16 22:00:55,665 - ('bat2 nabiti', -0.6379569292068481)
2022-12-16 22:01:26,541 - ('bat2 vybiti', -0.5036438584327698)
2022-12-16 22:12:51,518 - ('suma minutpro bat1', -11.405165803432464)
2022-12-17 13:25:30,182 - ('bat2 nabiti', -0.6391158978144328)
2022-12-17 13:25:57,362 - ('bat2 vybiti', -0.44179229338963827)
2022-12-21 09:16:03,995 - ('suma minutpro bat1', -5510.0997797648115)
2022-12-21 09:50:35,780 - ('bat2 nabiti', -0.6376954634984334)
2022-12-21 09:51:38,271 - ('bat2 nabiti', -0.4212493697802226)
2022-12-21 09:52:16,436 - ('bat2 vybiti', -0.6247854550679525)
2022-12-21 10:41:25,490 - ('suma minutpro bat1', -49.139476339022316)
2022-12-21 11:06:20,653 - ('bat2 nabiti', -0.637953539689382)
2022-12-21 11:06:51,412 - ('bat2 vybiti', -0.5015959660212199)
2022-12-21 12:20:08,234 - ('suma minutpro bat1', -73.26905312935511)
2022-12-21 13:20:03,179 - ('bat2 nabiti', -0.6334306359291076)
2022-12-21 13:20:34,050 - ('bat2 vybiti', -0.5034432411193848)
2022-12-21 14:46:28,233 - ('bat2 nabiti', -0.1570275068283081)
2022-12-21 14:49:57,602 - ('bat2 nabiti', -0.1570400317509969)
2022-12-21 14:54:57,662 - Matplotlib is building the font cache; this may take a moment.
2022-12-21 14:55:31,592 - ('bat2 nabiti', -0.1555207888285319)
2022-12-21 14:58:00,249 - ('bat2 vybiti', -2.4151886701583862)
2022-12-21 15:01:09,881 - ('suma minutpro bat1', -3.149399423599243)
2022-12-21 15:03:30,203 - ('bat2 nabiti', -1.0272881229718527)
2022-12-21 15:04:28,268 - ('bat2 vybiti', -0.9348827560742696)
2022-12-21 15:06:57,099 - ('bat2 nabiti', -1.1100795070330303)
2022-12-21 15:14:11,394 - ('bat2 nabiti', -0.37882635990778607)
2022-12-21 15:15:13,164 - ('bat2 vybiti', -0.9988381902376811)
2022-12-21 15:24:56,826 - ('bat2 nabiti', -8.56950474580129)
2022-12-21 15:29:38,643 - ('bat2 vybiti', -4.666865865389506)
